mark_id,student_id,class_name,gender,subject,test_name,date_taken,marks_obtained,total_marks,percentage,previous_subject_percentage,subject_average,overall_average,attendance_percentage,risk_label,class,current_score,attendance,overall_avg,subject_avg,instruction,guidance
,,,,English,,,,,,,,,,gradual_decline,10A,,86.0,,,"Class: 10A, Subject: English, Scores history: 85% → 76% → 64%. Attendance: 86%, Overall avg: 74%, Subject avg: 75%.",3-test English decline pattern: 85% → 76% → 64%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Physics,,,,,,,,,,gradual_decline,9B,,75.0,,,"Class: 9B, Subject: Physics, Scores history: 76% → 71% → 66%. Attendance: 75%, Overall avg: 64%, Subject avg: 71%.",Physics scores declining steadily: 76% → 71% → 66%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Math,,,,,,,,,,sudden_drop,8B,53.0,78.0,,,"Class: 8B, Subject: Math, Score: 53% (previous: 81%), Attendance: 78%, Overall avg: 69%, Subject avg: 67%.",Amit's Math dropped 28 points suddenly (81% → 53%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Chemistry,,,,,,,,,,sudden_drop,8A,67.0,59.0,,,"Class: 8A, Subject: Chemistry, Score: 67% (previous: 86%), Attendance: 59%, Overall avg: 71%, Subject avg: 76%.",Amit's Chemistry dropped 19 points suddenly (86% → 67%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Biology,,,,,,,,,,subject_weakness,8B,54.0,88.0,82.0,,"Class: 8B, Subject: Biology, Score: 54%, Attendance: 88%, Overall avg: 82%, Subject avg: 54%.",Student excels generally (82% overall) but struggles in Biology (54% average). Biology seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Biology materials 4) Bi-weekly progress tests 5) Peer mentoring in Biology.
,,,,Math,,,,,,,,,,sudden_drop,8A,63.0,88.0,,,"Class: 8A, Subject: Math, Score: 63% (previous: 83%), Attendance: 88%, Overall avg: 66%, Subject avg: 73%.",Math 20% sudden drop with 88% attendance detected. INTERVENTION: 1) If attendance issue: mandatory attendance plan 2) If academic: intensive tutoring + daily practice 3) If personal: counseling referral 4) Reassess after 1 week.
,,,,Physics,,,,,,,,,,subject_weakness,8A,59.0,94.0,85.0,,"Class: 8A, Subject: Physics, Score: 59%, Attendance: 94%, Overall avg: 85%, Subject avg: 59%.",Strong overall student (85% average) but Physics is weak point (59%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated Physics tutor immediately 2) Daily Physics practice (minimum 45 minutes) 3) Group sessions focusing only on Physics 4) Weekly Physics-only assessments 5) Identify and fix conceptual gaps.
,,,,History,,,,,,,,,,subject_weakness,9B,47.0,88.0,72.0,,"Class: 9B, Subject: History, Score: 47%, Attendance: 88%, Overall avg: 72%, Subject avg: 47%.",Student excels generally (72% overall) but struggles in History (47% average). History seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified History materials 4) Bi-weekly progress tests 5) Peer mentoring in History.
,,,,Math,,,,,,,,,,no_risk,8B,86.0,87.0,95.0,,"Class: 8B, Subject: Math, Score: 86%, Attendance: 87%, Overall avg: 95%.",✅ Outstanding Math achievement (86%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Chemistry,,,,,,,,,,no_risk,9A,89.0,93.0,91.0,,"Class: 9A, Subject: Chemistry, Score: 89%, Attendance: 93%, Overall avg: 91%.",✅ Excellent performance in Chemistry (89%). Keep up strong work! RECOMMENDATIONS: 1) Introduce advanced challenge problems 2) Expand to Olympic-level content 3) Peer tutoring for struggling classmates 4) Consider subject specialization for competitive exams.
,,,,Physics,,,,,,,,,,subject_weakness,10B,51.0,93.0,76.0,,"Class: 10B, Subject: Physics, Score: 51%, Attendance: 93%, Overall avg: 76%, Subject avg: 51%.",Clear strength-weakness pattern: 76% average overall but only 51% in Physics. Physics is holding back potential. CORRECTIVE MEASURES: 1) Immediate Physics tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
,,,,Science,,,,,,,,,,sudden_drop,10B,68.0,86.0,,,"Class: 10B, Subject: Science, Score: 68% (previous: 85%), Attendance: 86%, Overall avg: 86%, Subject avg: 76%.",Science performance fell 17 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent Science lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,History,,,,,,,,,,subject_weakness,10B,60.0,78.0,85.0,,"Class: 10B, Subject: History, Score: 60%, Attendance: 78%, Overall avg: 85%, Subject avg: 60%.",Strong overall student (85% average) but History is weak point (60%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated History tutor immediately 2) Daily History practice (minimum 45 minutes) 3) Group sessions focusing only on History 4) Weekly History-only assessments 5) Identify and fix conceptual gaps.
,,,,English,,,,,,,,,,sudden_drop,9A,70.0,72.0,,,"Class: 9A, Subject: English, Score: 70% (previous: 89%), Attendance: 72%, Overall avg: 73%, Subject avg: 79%.",Sudden 19% drop in English (89% to 70%)! This steep decline needs urgent action. STEPS: 1) Diagnose exact weak topic 2) Daily 30-minute focused practice 3) Tutoring support this week 4) Re-test in 5 days to check improvement.
,,,,Math,,,,,,,,,,no_risk,9A,75.0,86.0,85.0,,"Class: 9A, Subject: Math, Score: 75%, Attendance: 86%, Overall avg: 85%.",✅ Outstanding Math achievement (75%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Biology,,,,,,,,,,subject_weakness,8B,58.0,89.0,73.0,,"Class: 8B, Subject: Biology, Score: 58%, Attendance: 89%, Overall avg: 73%, Subject avg: 58%.",Student excels generally (73% overall) but struggles in Biology (58% average). Biology seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Biology materials 4) Bi-weekly progress tests 5) Peer mentoring in Biology.
,,,,Social Studies,,,,,,,,,,no_risk,8B,88.0,87.0,90.0,,"Class: 8B, Subject: Social Studies, Score: 88%, Attendance: 87%, Overall avg: 90%.",✅ Social Studies mastery shown (88% with 87% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Social Studies 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,Biology,,,,,,,,,,subject_weakness,10A,46.0,91.0,79.0,,"Class: 10A, Subject: Biology, Score: 46%, Attendance: 91%, Overall avg: 79%, Subject avg: 46%.",Student excels generally (79% overall) but struggles in Biology (46% average). Biology seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Biology materials 4) Bi-weekly progress tests 5) Peer mentoring in Biology.
,,,,Math,,,,,,,,,,no_risk,9B,95.0,95.0,93.0,,"Class: 9B, Subject: Math, Score: 95%, Attendance: 95%, Overall avg: 93%.",✅ Math mastery shown (95% with 95% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Math 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,Science,,,,,,,,,,sudden_drop,10A,45.0,90.0,,,"Class: 10A, Subject: Science, Score: 45% (previous: 70%), Attendance: 90%, Overall avg: 58%, Subject avg: 57%.",Science performance fell 25 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent Science lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,Social Studies,,,,,,,,,,no_risk,9B,92.0,99.0,89.0,,"Class: 9B, Subject: Social Studies, Score: 92%, Attendance: 99%, Overall avg: 89%.",✅ Social Studies mastery shown (92% with 99% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Social Studies 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,Biology,,,,,,,,,,sudden_drop,8B,66.0,55.0,,,"Class: 8B, Subject: Biology, Score: 66% (previous: 84%), Attendance: 55%, Overall avg: 61%, Subject avg: 75%.",Critical alert: Biology score plummeted (18% drop). Attendance is 55% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
,,,,Chemistry,,,,,,,,,,gradual_decline,10B,,62.0,,,"Class: 10B, Subject: Chemistry, Scores history: 82% → 73% → 66%. Attendance: 62%, Overall avg: 62%, Subject avg: 73%.",Downward trend in Chemistry: 82% → 73% → 66%. Student losing momentum. CORRECTIVE STEPS: 1) Increase practice frequency 2) Find study partner or tutor 3) Break complex topics into smaller parts 4) Daily revision schedule starting tomorrow 5) Re-motivate with positive reinforcement.
,,,,Math,,,,,,,,,,no_risk,10A,93.0,90.0,92.0,,"Class: 10A, Subject: Math, Score: 93%, Attendance: 90%, Overall avg: 92%.",✅ Math performing at 93% - exactly where we want to see! Strong foundations with 90% attendance. SUGGESTIONS: 1) Introduce enrichment materials 2) Problem-solving challenges 3) Subject clubs participation 4) Consider as career-path indicator.
,,,,History,,,,,,,,,,sudden_drop,9B,36.0,51.0,,,"Class: 9B, Subject: History, Score: 36% (previous: 71%), Attendance: 51%, Overall avg: 52%, Subject avg: 53%.",Amit's History dropped 35 points suddenly (71% → 36%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Chemistry,,,,,,,,,,subject_weakness,9B,41.0,86.0,76.0,,"Class: 9B, Subject: Chemistry, Score: 41%, Attendance: 86%, Overall avg: 76%, Subject avg: 41%.",Student excels generally (76% overall) but struggles in Chemistry (41% average). Chemistry seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Chemistry materials 4) Bi-weekly progress tests 5) Peer mentoring in Chemistry.
,,,,History,,,,,,,,,,gradual_decline,9B,,65.0,,,"Class: 9B, Subject: History, Scores history: 89% → 78% → 70%. Attendance: 65%, Overall avg: 83%, Subject avg: 79%.",History scores declining steadily: 89% → 78% → 70%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Social Studies,,,,,,,,,,sudden_drop,9B,62.0,54.0,,,"Class: 9B, Subject: Social Studies, Score: 62% (previous: 78%), Attendance: 54%, Overall avg: 70%, Subject avg: 70%.",Sudden 16% drop in Social Studies (78% to 62%)! This steep decline needs urgent action. STEPS: 1) Diagnose exact weak topic 2) Daily 30-minute focused practice 3) Tutoring support this week 4) Re-test in 5 days to check improvement.
,,,,English,,,,,,,,,,gradual_decline,10A,,75.0,,,"Class: 10A, Subject: English, Scores history: 91% → 86% → 75%. Attendance: 75%, Overall avg: 89%, Subject avg: 84%.",3-test English decline pattern: 91% → 86% → 75%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Biology,,,,,,,,,,sudden_drop,8B,49.0,84.0,,,"Class: 8B, Subject: Biology, Score: 49% (previous: 79%), Attendance: 84%, Overall avg: 53%, Subject avg: 64%.",Critical alert: Biology score plummeted (30% drop). Attendance is 84% - could be factor. MUST DO: 1) Parent-teacher meeting if attendance low 2) One-on-one tutoring immediately 3) Catch-up material and daily practice 4) Weekly follow-ups to ensure recovery.
,,,,Social Studies,,,,,,,,,,gradual_decline,8A,,69.0,,,"Class: 8A, Subject: Social Studies, Scores history: 76% → 68% → 57%. Attendance: 69%, Overall avg: 72%, Subject avg: 67%.",Social Studies scores declining steadily: 76% → 68% → 57%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Math,,,,,,,,,,gradual_decline,9A,,62.0,,,"Class: 9A, Subject: Math, Scores history: 79% → 69% → 57%. Attendance: 62%, Overall avg: 65%, Subject avg: 68%.",Gradual Math decline detected: 79% → 69% → 57%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
,,,,Social Studies,,,,,,,,,,no_risk,9B,86.0,89.0,90.0,,"Class: 9B, Subject: Social Studies, Score: 86%, Attendance: 89%, Overall avg: 90%.",✅ Excellent performance in Social Studies (86%). Keep up strong work! RECOMMENDATIONS: 1) Introduce advanced challenge problems 2) Expand to Olympic-level content 3) Peer tutoring for struggling classmates 4) Consider subject specialization for competitive exams.
,,,,Math,,,,,,,,,,subject_weakness,9A,55.0,87.0,90.0,,"Class: 9A, Subject: Math, Score: 55%, Attendance: 87%, Overall avg: 90%, Subject avg: 55%.",Strong overall student (90% average) but Math is weak point (55%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated Math tutor immediately 2) Daily Math practice (minimum 45 minutes) 3) Group sessions focusing only on Math 4) Weekly Math-only assessments 5) Identify and fix conceptual gaps.
,,,,Physics,,,,,,,,,,subject_weakness,8A,52.0,90.0,87.0,,"Class: 8A, Subject: Physics, Score: 52%, Attendance: 90%, Overall avg: 87%, Subject avg: 52%.",Student excels generally (87% overall) but struggles in Physics (52% average). Physics seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Physics materials 4) Bi-weekly progress tests 5) Peer mentoring in Physics.
,,,,Chemistry,,,,,,,,,,subject_weakness,10A,53.0,95.0,88.0,,"Class: 10A, Subject: Chemistry, Score: 53%, Attendance: 95%, Overall avg: 88%, Subject avg: 53%.",Student excels generally (88% overall) but struggles in Chemistry (53% average). Chemistry seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Chemistry materials 4) Bi-weekly progress tests 5) Peer mentoring in Chemistry.
,,,,Biology,,,,,,,,,,gradual_decline,9B,,83.0,,,"Class: 9B, Subject: Biology, Scores history: 81% → 71% → 59%. Attendance: 83%, Overall avg: 65%, Subject avg: 70%.",3-test Biology decline pattern: 81% → 71% → 59%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Physics,,,,,,,,,,gradual_decline,10B,,64.0,,,"Class: 10B, Subject: Physics, Scores history: 82% → 70% → 65%. Attendance: 64%, Overall avg: 70%, Subject avg: 72%.","Physics performance declining (82% → 70% → 65%). With 64% attendance, need to identify barriers. SOLUTION: 1) Review lecture notes missed (if attendance issue) 2) Intensive tutoring 3) Practice past papers 4) Check if personal/health issues affecting study."
,,,,History,,,,,,,,,,no_risk,8B,81.0,91.0,91.0,,"Class: 8B, Subject: History, Score: 81%, Attendance: 91%, Overall avg: 91%.",✅ History mastery shown (81% with 91% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in History 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,History,,,,,,,,,,gradual_decline,10B,,88.0,,,"Class: 10B, Subject: History, Scores history: 87% → 75% → 68%. Attendance: 88%, Overall avg: 83%, Subject avg: 76%.",Downward trend in History: 87% → 75% → 68%. Student losing momentum. CORRECTIVE STEPS: 1) Increase practice frequency 2) Find study partner or tutor 3) Break complex topics into smaller parts 4) Daily revision schedule starting tomorrow 5) Re-motivate with positive reinforcement.
,,,,Physics,,,,,,,,,,no_risk,9A,93.0,95.0,95.0,,"Class: 9A, Subject: Physics, Score: 93%, Attendance: 95%, Overall avg: 95%.",✅ Outstanding Physics achievement (93%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Science,,,,,,,,,,subject_weakness,9A,46.0,78.0,79.0,,"Class: 9A, Subject: Science, Score: 46%, Attendance: 78%, Overall avg: 79%, Subject avg: 46%.",Student performing well (79%) except Science (46% average). Need Science specialization. PLAN: 1) One-on-one Science coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for Science 5) Weekly check-ins to track Science improvement.
,,,,Biology,,,,,,,,,,gradual_decline,8A,,89.0,,,"Class: 8A, Subject: Biology, Scores history: 82% → 71% → 66%. Attendance: 89%, Overall avg: 80%, Subject avg: 73%.",3-test Biology decline pattern: 82% → 71% → 66%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Physics,,,,,,,,,,subject_weakness,10B,58.0,92.0,85.0,,"Class: 10B, Subject: Physics, Score: 58%, Attendance: 92%, Overall avg: 85%, Subject avg: 58%.",Strong overall student (85% average) but Physics is weak point (58%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated Physics tutor immediately 2) Daily Physics practice (minimum 45 minutes) 3) Group sessions focusing only on Physics 4) Weekly Physics-only assessments 5) Identify and fix conceptual gaps.
,,,,Biology,,,,,,,,,,gradual_decline,8B,,68.0,,,"Class: 8B, Subject: Biology, Scores history: 88% → 77% → 72%. Attendance: 68%, Overall avg: 65%, Subject avg: 79%.","Biology performance declining (88% → 77% → 72%). With 68% attendance, need to identify barriers. SOLUTION: 1) Review lecture notes missed (if attendance issue) 2) Intensive tutoring 3) Practice past papers 4) Check if personal/health issues affecting study."
,,,,Science,,,,,,,,,,sudden_drop,10A,48.0,52.0,,,"Class: 10A, Subject: Science, Score: 48% (previous: 83%), Attendance: 52%, Overall avg: 52%, Subject avg: 65%.",Amit's Science dropped 35 points suddenly (83% → 48%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,History,,,,,,,,,,sudden_drop,9A,69.0,79.0,,,"Class: 9A, Subject: History, Score: 69% (previous: 88%), Attendance: 79%, Overall avg: 80%, Subject avg: 78%.",Amit's History dropped 19 points suddenly (88% → 69%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Social Studies,,,,,,,,,,subject_weakness,9B,54.0,83.0,75.0,,"Class: 9B, Subject: Social Studies, Score: 54%, Attendance: 83%, Overall avg: 75%, Subject avg: 54%.",Student performing well (75%) except Social Studies (54% average). Need Social Studies specialization. PLAN: 1) One-on-one Social Studies coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for Social Studies 5) Weekly check-ins to track Social Studies improvement.
,,,,Biology,,,,,,,,,,no_risk,10B,94.0,95.0,93.0,,"Class: 10B, Subject: Biology, Score: 94%, Attendance: 95%, Overall avg: 93%.",✅ Outstanding Biology achievement (94%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Biology,,,,,,,,,,subject_weakness,10A,52.0,82.0,79.0,,"Class: 10A, Subject: Biology, Score: 52%, Attendance: 82%, Overall avg: 79%, Subject avg: 52%.",Clear strength-weakness pattern: 79% average overall but only 52% in Biology. Biology is holding back potential. CORRECTIVE MEASURES: 1) Immediate Biology tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
,,,,Science,,,,,,,,,,subject_weakness,8B,59.0,86.0,83.0,,"Class: 8B, Subject: Science, Score: 59%, Attendance: 86%, Overall avg: 83%, Subject avg: 59%.",Student performing well (83%) except Science (59% average). Need Science specialization. PLAN: 1) One-on-one Science coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for Science 5) Weekly check-ins to track Science improvement.
,,,,Chemistry,,,,,,,,,,no_risk,8A,81.0,95.0,83.0,,"Class: 8A, Subject: Chemistry, Score: 81%, Attendance: 95%, Overall avg: 83%.",✅ Chemistry performing at 81% - exactly where we want to see! Strong foundations with 95% attendance. SUGGESTIONS: 1) Introduce enrichment materials 2) Problem-solving challenges 3) Subject clubs participation 4) Consider as career-path indicator.
,,,,Physics,,,,,,,,,,gradual_decline,8B,,71.0,,,"Class: 8B, Subject: Physics, Scores history: 91% → 83% → 78%. Attendance: 71%, Overall avg: 87%, Subject avg: 84%.",Physics scores declining steadily: 91% → 83% → 78%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Biology,,,,,,,,,,sudden_drop,9B,53.0,78.0,,,"Class: 9B, Subject: Biology, Score: 53% (previous: 81%), Attendance: 78%, Overall avg: 59%, Subject avg: 67%.",Biology 28% sudden drop with 78% attendance detected. INTERVENTION: 1) If attendance issue: mandatory attendance plan 2) If academic: intensive tutoring + daily practice 3) If personal: counseling referral 4) Reassess after 1 week.
,,,,Science,,,,,,,,,,gradual_decline,8A,,78.0,,,"Class: 8A, Subject: Science, Scores history: 92% → 84% → 74%. Attendance: 78%, Overall avg: 64%, Subject avg: 83%.",Gradual Science decline detected: 92% → 84% → 74%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
